S.No.,Seller Name,Offered Item,Total Price,Rank,Winner
72,ITWORLD INTERNATIONAL PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
73,KDS INTERNATIONAL PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
74,ASHWINI ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
75,TS MANPOWER SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
76,ROMAN SEVEN SECURITY PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
77,SHERA SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
78,KANCHAN KRUPA PRIVATE LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
79,ANJANIPUTAR MANPOWER SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
80,CHAMPARAN INFRAPROJECTS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
81,J K ENTERPRISES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
82,secure facility management services ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
83,SECUMASTER SERVICES PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
84,AATMANIRBHAR FACILITY MANGEMENT PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
85,INDIAN EMPLOYMENT AGENCY ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
86,PMB FACILITIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
87,SUPERMAN SECURITY SERVICES PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
88,HCS INDUSTRIAL SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
89,ANSH ENTERPRISES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
90,R D SECURITY SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
91,JAI JAWALAJI SECURITY AND MANPOWER SERVICES PRIVATE LIMITED ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
92,Orange Services ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
93,KKG ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
94,MAA ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
95,SAIRAM SECURITY SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
96,AASTHA SECURITY SERVICES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
